level,page_name,slug_or_url,parent,status,include_in_xml_now,note
0,首頁,https://lienbangtcm.tw/,,已發布・已驗證,yes,治療服務與常見症狀雙入口
1,治療服務,/services/,首頁,已發布・已驗證,yes,針灸傷科／中醫內科／自費特色診療
2,針灸傷科,#orthopedics,治療服務,頁內分類,no,不建立分類重複頁
3,一般針灸／不留針,/acupuncture/,針灸傷科,已發布・已驗證,yes,共用既有頁
3,針刀,/針刀/,針灸傷科,已發布・已驗證,yes,自費特色診療共用同一正式頁
3,浮針,/浮針/,針灸傷科,已發布・已驗證,yes,自費特色診療共用同一正式頁
3,針灸整合物理治療,/acupuncture-physical-therapy/,針灸傷科,已發布・已驗證,yes,
2,中醫內科,#internal,治療服務,頁內分類,no,不建立分類重複頁
3,脈診辨證／單味藥組方,/pulse-diagnosis/,中醫內科,已發布・已驗證,yes,共用既有頁
3,內科診療說明,,中醫內科,待新增,no,正式網址與內容待確認
2,自費特色診療,#self-pay,治療服務,頁內分類,no,不建立分類重複頁
3,針刀,/針刀/,自費特色診療,已發布・已驗證,yes,與針灸傷科共用同一頁
3,浮針,/浮針/,自費特色診療,已發布・已驗證,yes,與針灸傷科共用同一頁
3,美顏針,/美顏針/,自費特色診療,已發布・已驗證,yes,
3,穴位埋線,/埋線/,自費特色診療,已發布・已驗證,yes,以減重與體態調整為主要內容
1,常見症狀,/#common-symptoms,首頁,首頁區塊,no,症狀詳細頁尚未建立者不加入 XML Sitemap
2,內科常見症狀,,常見症狀,分類,no,症狀頁依狀態個別管理
3,胃逆流,,內科常見症狀,既有文章・改寫初稿完成待確認,no,現有文章維持原 Sitemap 狀態
3,咳嗽,,內科常見症狀,待新增,no,
3,失眠,,內科常見症狀,初稿完成待確認,no,
3,鼻過敏,,內科常見症狀,待新增,no,
3,腹瀉,,內科常見症狀,已有相關文章・入口待整理,no,現有文章維持原 Sitemap 狀態
3,便秘,,內科常見症狀,待新增,no,
3,經痛,,內科常見症狀,已有相關文章・入口待整理,no,現有文章維持原 Sitemap 狀態
3,疲倦,,內科常見症狀,待新增,no,
2,針灸傷科常見症狀,,常見症狀,分類,no,症狀頁依狀態個別管理
3,五十肩,,針灸傷科常見症狀,待新增,no,
3,肩頸痛,,針灸傷科常見症狀,初稿完成待確認,no,
3,腰背痛,,針灸傷科常見症狀,既有文章・改寫初稿完成待確認,no,現有文章維持原 Sitemap 狀態
3,坐骨痛,,針灸傷科常見症狀,待新增,no,
3,膝痛,,針灸傷科常見症狀,待新增,no,
3,網球肘,,針灸傷科常見症狀,待新增,no,
3,媽媽手,,針灸傷科常見症狀,待新增,no,
3,足底痛,,針灸傷科常見症狀,待新增,no,
1,醫師團隊,/team/,首頁,已發布・已驗證,yes,既有醫師資料保留
2,張豫醫師,/profile/ 或 /zhang-yu/,醫師團隊,唯一正式網址待確認,no,確認後另一網址再規劃 301
2,戴宣元醫師,/dai-xuan-yuan/,醫師團隊,已發布,yes,
2,張祐銘醫師,/zhang-you-ming/,醫師團隊,已發布,yes,
2,蔡如慧醫師,/tsai-ru-hui/,醫師團隊,已發布,yes,
1,健康專欄,/health-blog/,首頁,已發布・已驗證,yes,現有文章全部保留
1,關於連邦,/about-lienbang/,首頁,已發布・已驗證,yes,單一 H1 已於 2026-08-30 驗證
1,門診與交通,/support/,首頁,已發布・已驗證,yes,電話／LINE／地址／交通資訊保留
1,LINE 預約,https://lin.ee/UWWKmse,首頁,外部連結,no,不加入 XML Sitemap
